tg_9001_x0020_G_x0020_2501_71172,fo_3150
tg_9001_x0020_G_x0020_2502_71646,fo_3150
tg_9002_x0020_G_x0020_2501_71147,fo_3150
tg_9002_x0020_G_x0020_2502_71621,fo_3150
tg_9003_x0020_G_x0020_2501_71122,fo_3150
tg_9003_x0020_G_x0020_2502_71596,fo_3150
tg_9004_x0020_G_x0020_2501_71097,fo_3150
tg_9004_x0020_G_x0020_2502_71571,fo_3150
tg_9005_x0020_G_x0020_2501_71072,fo_3150
tg_9005_x0020_G_x0020_2502_71546,fo_3150
tg_9006_x0020_G_x0020_2501_71047,fo_3150
tg_9006_x0020_G_x0020_2502_71521,fo_3150
tg_9007_x0020_G_x0020_2501_71022,fo_3150
tg_9007_x0020_G_x0020_2502_71496,fo_3150
tg_9007_x0020_G_x0020_2503_69404,fo_3150
tg_9007_x0020_G_x0020_2504_70403,fo_3150
tg_9008_x0020_G_x0020_2501_71296,fo_3150
tg_9008_x0020_G_x0020_2502_71471,fo_3150
tg_9008_x0020_G_x0020_2503_69379,fo_3150
tg_9008_x0020_G_x0020_2504_70378,fo_3150
tg_9009_x0020_G_x0020_2501_70997,fo_3150
tg_9009_x0020_G_x0020_2502_71446,fo_3150
tg_9010_x0020_G_x0020_2501_70947,fo_3150
tg_9010_x0020_G_x0020_2502_71421,fo_3150
tg_9012_x0020_G_x0020_2501_70922,fo_3150
tg_9012_x0020_G_x0020_2502_71396,fo_3150
tg_9013_x0020_G_x0020_2501_70897,fo_3150
tg_9013_x0020_G_x0020_2502_70675,fo_3150
tg_9014_x0020_G_x0020_2501_70872,fo_3150
tg_9014_x0020_G_x0020_2502_71995,fo_3150
tg_9015_x0020_G_x0020_2501_70825,fo_3150
tg_9015_x0020_G_x0020_2502_70628,fo_3150
tg_9016_x0020_G_x0020_2501_70800,fo_3150
tg_9016_x0020_G_x0020_2502_70578,fo_3150
tg_9016_x0020_G_x0020_2503_69354,fo_3150
tg_9016_x0020_G_x0020_2504_70353,fo_3150
tg_9017_x0020_G_x0020_2501_70775,fo_3150
tg_9017_x0020_G_x0020_2502_69878,fo_3150
tg_9017_x0020_G_x0020_2503_69329,fo_3150
tg_9017_x0020_G_x0020_2504_70328,fo_3150
tg_9017_x0020_G_x0020_2506_72020,fo_3150
tg_9017_x0020_G_x0020_2507_70053,fo_3150
tg_9019_x0020_G_x0020_2501_70750,fo_3150
tg_9019_x0020_G_x0020_2502_69853,fo_3150
tg_9020_x0020_G_x0020_2501_70725,fo_3150
tg_9020_x0020_G_x0020_2502_69828,fo_3150
tg_9021_x0020_G_x0020_2501_70700,fo_3150
