;budget_year;lfd_nr;fin_ve;bedarfsplan_number;name;starting_year;cost_estimate_original;cost_estimate_last_year;cost_estimate_actual;cost_estimate_actual_third_parties;cost_estimate_actual_equity;cost_estimate_actual_891_01;cost_estimate_actual_891_02;cost_estimate_actual_891_03;cost_estimate_actual_891_04;cost_estimate_actual_891_91;delta_previous_year;delta_previous_year_relativ;delta_previous_year_reasons;spent_two_years_previous;spent_two_years_previous_third_parties;spent_two_years_previous_equity;spent_two_years_previous_891_01;spent_two_years_previous_891_02;spent_two_years_previous_891_03;spent_two_years_previous_891_04;spent_two_years_previous_891_91;allowed_previous_year;allowed_previous_year_third_parties;allowed_previous_year_equity;allowed_previous_year_891_01;allowed_previous_year_891_02;allowed_previous_year_891_03;allowed_previous_year_891_04;allowed_previous_year_891_91;spending_residues;spending_residues_891_01;spending_residues_891_02;spending_residues_891_03;spending_residues_891_04;spending_residues_891_91;year_planned;year_planned_third_parties;year_planned_equity;year_planned_891_01;year_planned_891_02;year_planned_891_03;year_planned_891_04;year_planned_891_91;next_years;next_years_third_parties;next_years_equity;next_years_891_01;next_years_891_02;next_years_891_03;next_years_891_04;next_years_891_91
41;2023;B0032;5036;L 26;"Knoten Erfurt,
3. Baustufe (Einbindung VDE 8.1/8.2)
";2009;156765;154253;153601;-;ERGÄNZEN;112.545;-;-;-;41.056;-652;-0.0042268221687746755;;143646;-;-;102.590;-;-;-;41.056;4490;-;-;4.490;-;-;-;‐;3539;3.539;-;-;-;ERGÄNZEN;1070;-;-;1.070;-;-;-;‐;856;-;-;856;-;-;-;‐
42;2023;B0064;277;N 25;Knoten Frankfurt a.M., Homburger Damm ;2016;113210;153132;156317;-;7.391;156.317;-;-;-;-;3185;0.020799049186322912;;122370;-;5.738;122.370;-;-;-;-;18694;-;1.143;18.694;-;-;-;-;3020;3.020;-;-;-;-;11833;-;493;11.833;-;-;-;-;400;-;17;400;-;-;-;-
43;2023;B0072;272;N 25;"Knoten Frankfurt a.M., Sportfeld (2. Baustufe)
";2018;243239;301109;339521;-;14.960;339.521;-;-;-;-;38412;0.12756842206642777;;35821;-;1.885;35.821;-;-;-;-;27285;-;2.031;27.285;-;-;-;-;11312;11.312;-;-;-;-;31999;-;1.333;31.999;-;-;-;-;233104;-;9.711;233.104;-;-;-;-
44;2023;B0034;265;L 26;"Knoten Halle/Leipzig,
2. Baustufe (Knoten Halle)
";2012;222982;564386;566219;-;13.422;566.219;-;-;-;-;1833;0.003247777230477014;;465564;-;8.946;465.564;-;-;-;-;25685;-;1.352;25.685;-;-;-;-;‐;‐;-;-;-;-;33646;-;1.402;33.646;-;-;-;-;41324;-;1.722;41.324;-;-;-;-
45;2023;B0085;‐;P 39;"Knoten Hamburg, Meckelfeld
";2021;142766;142766;186125;-;8.248;186.125;-;-;-;-;43359;0.3037067649160164;;15057;-;792;15.057;-;-;-;-;29670;-;1.562;29.670;-;-;-;-;‐;‐;-;-;-;-;37143;-;1.548;37.143;-;-;-;-;104255;-;4.346;104.255;-;-;-;-
46;2023;B0084;408;P 39;"Knoten Hamburg, S 4 Ost
";2020;884921;902619;919999;-;ERGÄNZEN;919.999;-;-;-;-;17380;0.019255078831710834;;35166;-;-;35.166;-;-;-;-;‐;-;-;5.518;-;-;-;-;44771;44.771;-;-;-;-;156256;-;-;156.256;-;-;-;-;689324;-;-;689.324;-;-;-;-
47;2023;B0077;288;P 41;Knoten Köln, Gummersbacher Straße ;2019;397430;396747;435981;-;18.278;435.981;-;-;-;-;39234;0.09888921655362233;;3615;-;191;3.615;-;-;-;-;4205;-;338;4.205;-;-;-;-;2207;2.207;-;-;-;-;44258;-;1.844;44.258;-;-;-;-;381696;-;15.905;381.696;-;-;-;-
48;2023;B0035;238;L 26;"Knoten Magdeburg,
2. Baustufe
";2007;238166;488907;513445;-;15.013;513.445;-;-;-;-;24538;0.05018950434336183;;273813;-;4.780;273.813;-;-;-;-;17092;-;1.181;17.092;-;-;-;-;5350;5.350;-;-;-;-;28438;-;1.185;28.438;-;-;-;-;188752;-;7.867;188.752;-;-;-;-
49;2023;B0038;5025;L 20;"NBS/ABS Stuttgart ‐ Ulm ‐ Augsburg,
Wendlingen ‐ Ulm
";2009;923800;2858342;2878360;-;ERGÄNZEN;2.385.545;-;492.815;-;-;20018;0.007003360689518609;;2511636;-;-;2.018.821;-;492.815;-;-;34474;-;-;34.474;-;‐;-;-;‐;‐;-;ERGÄNZEN;-;-;100108;-;-;100.108;-;‐;-;-;232142;-;-;232.142;-;‐;-;-
50;2023;B0039;194;L 37;"Rangierbahnhof Halle(Saale) Nord
";2011;107559;154728;150051;-;ERGÄNZEN;150.051;-;-;-;-;-4677;-0.03022723747479448;;141473;-;-;141.473;-;-;-;-;2413;-;-;2.413;-;-;-;-;5951;5.951;-;-;-;-;214;-;-;214;-;-;-;-;‐;-;-;‐;-;-;-;-
