;Train;type;i;j;dep;arr;arc_i;arc_j;arc_tr
0;FV8 B;FV;nAH;nAHAR;71.7;81.7;nAHAR;nAH;1
1;FV8 B;FV;nAHAR;nAMA;83.7;87.6;nAMA;nAHAR;1
2;FV8 B;FV;nAMA;nYASET;87.6;91.2;nYASET;nAMA;1
3;FV8 B;FV;nYASET;nHIHG;91.2;124.7;nHIHG;nYASET;1
4;FV8 B;FV;nHIHG;nHH;124.7;134.7;nHH;nHIHG;1
5;FV8 B;FV;nHH;nHIHG;346.7;356.7;nHIHG;nHH;1
6;FV8 B;FV;nHIHG;nYASET;356.7;390.2;nYASET;nHIHG;1
7;FV8 B;FV;nYASET;nAMA;390.2;393.8;nAMA;nYASET;1
8;FV8 B;FV;nAMA;nAHAR;393.8;397.7;nAHAR;nAMA;1
9;FV8 B;FV;nAHAR;nAH;399.7;409.7;nAH;nAHAR;1
