;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
11;Deutschlandtakt ABS Dortmund Dbw – Hamm;D-11;ABS Dortmund Dbw – Hamm;Mischverkehrsstrecke, Kapazitätssteigerung und Engpassauflösung für Mehrverkehr SPV, RRX4 Dortmund - Harnm verkehrt trassenparallel mit FR35 und FV19;"drittes Gleis Dortmund Dbw- Hamm; zusätzliches viertes Gleis Abzweig Dortmund Dbw-Dortmund-Scharnhorst";Dortmund Dbw – Hamm;1278,7;;WAHR;;;;WAHR;WAHR;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Dortmund - Hamm;unmittelbar;2650;;ja;;;ja;NRW - Hannover - Berlin;x
12;Deutschlandtakt Ausbau Knoten Hamm;D-12;Ausbau Knoten Hamm;Engpassauflösung Maßnahme im Knoten Hamm für Mehrverkehre im SPFV und SPNV zur Reisezeitverkürzung in der Relation Bielefeld - Ruhrgebiet/Köln von bis zu einer Minute ggü. Fahrplan 2021 zur Anschlussherstellung in den Knoten Hamm und Köln;"Umbau Knoten Hamm (mit ABS/NBS Dortmund - Hamm - Bielefeld - Seelze) zur Kapazitätssteigerung bzw. Engpassauflösung sowie zur Knotenbildung: - Überwerfung von Dortmund nach Gleis 712 und Gleis 711; - Gleis 713 wird durchgehendes RRX-Hauptgleis Richtung Dortmund; - Gleis 712 wird durchgehendes RRX-Hauptgleis Richtung Bielefeld; - mittiges Wartegleis für SGV Richtung Bielefeld im Nordkopf (740m); - Umfahrung DKW 804 in Richtung Hamm - Dortmund (Eilgutgleis) durch Bau einer Verbindung DKW 842 - Gleis 670 - Eilgutgleis; - Ertüchtigung G-Bahn zwischen Selmig und Abzw. Hps";Hamm;392,1;;;;;;;;;;;;;;;;WAHR;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Hamm;unmittelbar;mehrere;;;;;ja;NRW - Hannover - Berlin; 
13;Deutschlandtakt ABS Hamm – Bielefeld;D-13;ABS Hamm – Bielefeld;"Engpassauflösung wegen Mehrverkehr SPFV und SPNV und bessere Knoteneinbindung (Anschlussherstellung) in Hamm und Hannover (Zielfahrzeit Hamm - Hannover 54 Minuten inkl 2' Haltezeit in Bielefeld), zudem Beitrag zur Fahrzeitverkürzung Berlin - Hannover - NRW auf 3:35h, Erreichung Zielfahrzeit Hamm - Bielefeld: 21 Minuten; zudem Maßnahmenliste Halbstundentakt DB Netz AG 2026: Minimierung Verspätungsübertragungsrisiko, ""Robustes Netz NRW"" bis zur IBN NBS/ABS Hamm - Seelze (Etappierungsmaßnahme)";"Ausbau Fernbahn Hamm - Bielefeld für bis zu 300 km/h; Ertüchtigung der Güterbahn Hamm - Herforder (Gz-Gleise) für den Personenverkehr (160 km/h); neue Schweichelner Kruve, Anpassung div. Bahnhofstopologien, Bahnsteige an der Strecke 2990, Bau von Überholgleisen für den Personenverkehr (Nutzlänge 215m) in Ahlen und Oelde";Hamm – Bielefeld;2061,8;;WAHR;;;;;;WAHR;;;;WAHR;;;;;;WAHR;160;WAHR;;;WAHR;;WAHR;WAHR;WAHR;;;Hamm - Bielefeld - Hannover;unmittelbar;1700/2990;;;;;ja;NRW - Hannover - Berlin; 
14;Deutschlandtakt NBS Bielefeld – Seelze;D-14;NBS Bielefeld – Seelze;Kapazitätssteigerung und Engpassauflösung wegen Mehrverkehr SPFV und SPNV und besserer Knoteneinbindung (Anschlussherstel- lung) in Harn m und Hannover(Zielfahrzeit54 Minuten inkl. 2' Halte- zeit in Bielefeld Hbf), zudem Beitrag zur Fahrzeitverkürzung Ber!in/Hannover- NRW auf 3:35 h, Erreichung Zielfahrzeit Hannover- Bielefeld: 31 Minuten als Folge der Kantenzeit Harnm - Hannover von 54 Minuten;NBS/ABS Bielefeld - Seelze für bis zu 300 km/h;Bielefeld – Seelze;5130,8;WAHR;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hamm - Bielefeld - Hannover;unmittelbar;neu;;;;;ja;NRW - Hannover - Berlin;x
15;Deutschlandtakt ABS Löhne – Osnabrück;D-15;ABS Löhne – Osnabrück;Zielfahrzeitvon 61 Minuten (nonstop) zwischen Hannover und Osn- abrück für beschleunigte Linie zur Optimierung der Knoteneinbin- dung, Fahrzeitkürzung von 3 Minuten gegenüber Fahrplan 2021;Geschwindigkeitserhöhung Löhne - Osnabrück auf bis zu 160 km/h und Weichen für höhere Geschwindigkeiten in Löhne1  .;Löhne – Osnabrück;189,7;;WAHR;;;;;;;;;;;;;;;;WAHR;160;;;;WAHR;;WAHR;WAHR;WAHR;;;Löhne - Rheine;unmittelbar;2992;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
16;Deutschlandtakt Knoten Bielefeld;D-16;Knoten Bielefeld;"Kapazitätsausweitung aufgrund Mehrverkehr SPV im Rahmen der ABS/NBS Dortmund-Hamm - Bielefeld-Seelze:Ermöglichung doppelter Gleisbelegungen an den Gleisen 6 und 7; Parallele Fahr- möglichkeiten im Süd- und Nordkopf in Bielefeld Hbf aufgrund Erhö- hung Mengengerüst und Knotenfunktion Bielefeld Hbf";neuer Mittelbahnsteig in Bielefeld Hbf zwischen den Gleisen 7 und 8, zusätzliche Weichen;Bielefeld – Seelze;22,4;;;;;;;;;WAHR;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Bielefeld;unmittelbar;2990;;;;;ja;NRW - Hannover - Berlin;x
17;Deutschlandtakt Knoten Minden;D-17;Knoten Minden;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Minimierung Verspätungsübertragung aufgrund Mengenwachstum SPFV (Etappierungsmaßnahme);Bau eines zusätzlichen Außenbahnsteigs in Minden an Gleis 14 für wendende Express-Linie (heutiger RE 6);Minden;5,9;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hamm - Bielefeld - Hannover;unmittelbar;1700;;;;;ja;NRW - Hannover - Berlin; 
18;Deutschlandtakt Knoten Dortmund Gleis 26;D-18;Knoten Dortmund Gleis 26;Doppelbelegungen aufgrund Mehrverkehr Dortmund - Hamm im SPFV und SPNV;Bahnsteigabschnittssignale in Dortmund Hbf an Gleis 26 zur Doppelbelegung Emschertalbahn/Westmünsterlandbahn;Dortmund;3,1;;;;;;;;;;;;;;WAHR;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Dortmund;unmittelbar;mehrere;;;;;ja;Maßnahmen NRW/Niedersachsen/SH;x
19;Deutschlandtakt Knoten Dortmund Gleis 21;D-19;Knoten Dortmund Gleis 21;Kapazitätssteigerung aufgrund Mehrverkehr Dortmund - Harn mim SPV;Dortmund Hbf:Verlängerung des Bahnsteigsan Gleis21 auf400 m inkl. Verschiebung von Weichen zur Nutzung durch den SPFV und Aufgabe des bahnsteiglosen Gleises 24;Dortmund;7,3;;;;;;;;;WAHR;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Dortmund;unmittelbar;mehrere;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
20;Deutschlandtakt Knoten Aachen;D-20;Knoten Aachen;Engpassauflösung bzw. Kapazitätssteigerung Knoten Aachen für Mehrverkehre im SGV, SPNV und SPFV, wobei der SPNV in diverse Knoten im Raum Aachen eingebunden ist. Zudem Kapazitätssteige- rung im Knoten Aachen, um Synchronisation von SGV-Systemtras- sen östlich und westlich von Aachen Hbf zu erreichen;Aachen Hbf: doppelte Weichenverbindung nach Gleis 28 im West- kopf und Ant?.indung Gleis 26 von Aachen West, Herstellung zweier mittiger GV-Uberholgleise in Aachen Hbf als Warteposition für Güter- züge;Aachen;6,5;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Aachen;unmittelbar;2550/2600;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
