;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
38;Deutschlandtakt Knoten Hannover (Fußgängerunterführung);D-38;Knoten Hannover (Fußgängerunterführung);Verkürzung der Umsteigezeiten in Hannover Hbf von 8 auf 7 Minuten;zusätzliche Personenunterführung Hannover Hbf;Hannover;6,6;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hannover;unmittelbar;mehrere;;;;;ja;Knoten Hannover; 
39;Deutschlandtakt Knoten Donauwörth (Überwerfungsbauwerk);D-39;Knoten Donauwörth (Überwerfungsbauwerk);Kapazitätssteigerung bzw. Engpassauflösung, dam itdurchgehende Züge von Ulm nach Regensburg verkehren können;Überwerfungsbauwerk Donauwörth fürdurchgehende Züge auf der Strecke 5381;Donauwörth;60,7;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Knoten Donauwörth;mittelbar;5381;BY;;;;ja;Maßnahmen Bayern; 
40;Deutschlandtakt Knoten Donauwörth (Achsverschwenkung);D-40;Knoten Donauwörth (Achsverschwenkung);Reduktion von Kreuzungskonflikten aufgrund Struktur SPV und Verkehrsmenge SGV zur Kapazitätssteigerung;Achsverschwenkung des Hauptgleises Treuchtlingen -Augsburg in Donauwörth auf Gleis4 und parallele Fahrstraße Riesbahn -> Gleis 5;Donauwörth;11,2;;WAHR;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Knoten Donauwörth;mehrere;mehrere;BY;;;;ja;Maßnahmen Bayern; 
41;Deutschlandtakt NBS Würzburg – Nürnberg;D-41;NBS Würzburg – Nürnberg;Knoteneinbindung Würzburg und Nürnberg mit einer Zielfahrzeit von 29 Minuten zur Anschlussherstellung, Kapazitätssteigerung bzw. Engpassauflösung aufgrund MehrverkehrSPNVund SPFV sowie Kapazitätsausweitung aufgrund SGV-Prognose;NBS Würzburg- Nürnberg (Rottendorf- Fürth-Bislohe) inkl. Einbin- dung in den Knoten Nürnberg, Neu-/Ausbau auf bis zu 300 km/;Würzburg – Nürnberg;5702,8;WAHR;WAHR;;;;;;;;;;;;;;;;WAHR;300;;;;;;WAHR;WAHR;WAHR;;;Würzburg - Nürnberg;unmittelbar;neu;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
42;Deutschlandtakt NBS Würzburg – Nürnberg (Überholgleis Bereich Rottendorf – Fürth-Bislohe));D-42;NBS Würzburg – Nürnberg (Überholgleis Bereich Rottendorf – Fürth-Bislohe));Führung des SGV über die NBS während des Tages;mindestens ein Überholgleis an geeigneter Stelle im Abschnitt Rot- tendorf- Fürth-Bislohe;Würzburg – Nürnberg (Überholgleis Bereich Rottendorf – Fürth-Bislohe));11,2;WAHR;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Würzburg - Nürnberg;unmittelbar;neu;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
43;Deutschlandtakt Knoten Ingolstadt;D-43;Knoten Ingolstadt;Doppelbelegungen aufgrund Mehrverkehr im Knoten Ingolstadt erforderlich;neues Zugdeckungssignal an Gleis 1 in Ingolstadt Hbf;Knoten Ingolstadt;1,3;;;;;;;;;;;;;;WAHR;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Ingolstadt;unmittelbar;5501;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
44;Deutschlandtakt Knoten Friedrichsfeld Süd;D-44;Knoten Friedrichsfeld Süd;Kapazitätssteigerung und Engpassauflösung im Hinblick auf den SGV;Wartegleis in Friedrichsfeld Süd für den Güterverkehr der Relation Heidelberg- Mannheim Rbf;Friedrichsfeld Süd;31,2;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Mannheim;unmittelbar;4000;BW;;;;ja;Knoten Mannheim; 
45;Deutschlandtakt ABS Abzweig Nahrstedt;D-45;ABS Abzweig Nahrstedt;Kapazitätssteigerung und Engpassauflösung im Hinblick auf den SGV;parallele Fahrmöglichkeit im Abzw. Nahrstedt von der Schnellfahrstrecke Richtung Stendal und von Stendal in Richtung Gardelegen;Abzweig Nahrstedt;14,4;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Wolfsburg - Stendal - Berlin;unmittelbar;6107;;;;;ja;NRW - Hannover - Berlin; 
46;Deutschlandtakt ABS Uchtspringe – Vinzelberg – Abzw. Nahrstedt;D-46;ABS Uchtspringe – Vinzelberg – Abzw. Nahrstedt;Geänderte Knoteneinbindung im Knoten Stendal zur Anschlussaufnahme von geänderter Fahrlage des Fernverkehrs;Zweigleisigkeit Uchtspringe - Vinzelberg -Abzw. Nahrstedt inkl. Bahnhofsausbauten mitschienenfreien Zugängen sowie Neuersteilung der Außenbahnsteige;Uchtspringe – Vinzelberg – Abzw. Nahrstedt;81,5;;WAHR;;;WAHR;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Wolfsburg - Stendal - Berlin;mittelbar;6107;;;;;ja;NRW - Hannover - Berlin; 
47;Deutschlandtakt ABS Muldenstein - Radis;D-47;ABS Muldenstein - Radis;Kapazitätsausweitung durch eigenständige Trassierung der S-Bahn, damit SPFV überholen kann und unabhängige Kruezung des S-Bahn in Radis, Ausweitung Mengengerüst SPFV;Dreigleisiger Abschnitt Muldenstein - Radis mit Kreuzungsmöglichkeit Radis;Muldenstein - Radis;177,8;;WAHR;;;;WAHR;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Berlin - Halle;mittelbar;6132;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
48;Deutschlandtakt ABS Engelsdorf - Borsdorf;D-48;ABS Engelsdorf - Borsdorf;Entlastung der Fernbahn bzw. der Mischverkehrsstrecke, Engpassauflösung (Angebotsmehrung auf den S-Bahn Gleisen durch Umstellung des SPNV nach Grimma auf S-Bahn mit Mengenausweitung, 15 Minuten-Takt S-bahn bis Borsdorf, Eigenkreuzung westlich von Borsdor);zweigleisiger Abschnitt Engelsdorf - Borsdorf für die S-Bahn-Strecke;Engelsdorf - Borsdorf;94,5;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Leipzig - Dresden - Neustadt;mittelbar;6363;;;;;ja;Knoten Leipzig; 
49;Deutschlandtakt ABS Schönebeckk – Magdeburg;D-49;ABS Schönebeckk – Magdeburg;Optimierung Zulauf von SPFV und SPNV nach Magdeburg Hbfin Nullknoten;Nutzbarmachung der Güterstrecke Schönebeckk - Magdeburg auch für den Personenverkehr;Schönebeckk – Magdeburg;371,9;;WAHR;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Schönebeck - Glindenberg;mittelbar;6406;;;;;ja;Maßnahmen Ost; 
50;Deutschlandtakt ABS Oebisfeld – Bamme;D-50;ABS Oebisfeld – Bamme;Fahrzeitverkürzung um rund 10 Minuten ggü. Fahrplan 2021 bzw. Anschlussherstellung in der Relation Berlin - NRW;Ausbau fürVmax=300 km/h (280 bis 300 km/h von Oebisfelde bis Bamme mit2 Einbrüchen bei Staffelde und Rathenow, Ribbeck- Bamme mit250 oder300 km/h, Ribbeck- Wustermarkmit280 km/h);Oebisfeld – Bamme;946;;WAHR;;;;;;;;;;;;;;;;WAHR;300;;;;;;WAHR;WAHR;WAHR;;;Wolfsburg - Stendal - Berlin;unmittelbar;6107/6185;;;;;ja;NRW - Hannover - Berlin; 
51;Deutschlandtakt Knoten Erfurt;D-51;Knoten Erfurt;Kapazitätssteigerung bzw. Engpassauflösung aufgrund Mengenaus- weitung SPFV und SPNV, halbstündliche SPFV-Korrespondenz im Knoten Erfurt mit kurzen Haltezeiten und parallelen Ein- und Aus- fahrm öglichkeiten, Anschlussherstellung;Überwerfungsbauwerke Erfurt Hbf im Ost- und Westkopf;Erfurt;174,3;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Erfurt;unmittelbar;mehrere;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
52;Deutschlandtakt Knoten Dresden;D-52;Knoten Dresden;Kapazitätssteigerung aufgrund Mengenausweitung SPFVund SPNV auf Mischverkehrsstrecke, Engpassauflösung im Knoten, Vergröße- rung der Kapazität zwischen Dresden Neustadt und Dresden Hbffür SPNV;Dresden Neustadt- Dresden Hbf (S-Bahn): Weichenverbindung von S-Bahn auf Fernverkehrs-Gleise im Vorfeld von Dresden Hbf,;Knoten Dresden;9;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Coswig- Pirna;mittelbar;6239;;;;;ja;Maßnahmen Ost; 
53;Deutschlandtakt ABS Leipzig Radefeld/GVZ – Leipzig Messe;D-53;ABS Leipzig Radefeld/GVZ – Leipzig Messe;Kapazitätssteigerung bzw. Engpassauflösung aufgrund Mengenaus- weitung SPFV, Trennung S-Bahn/ SPFV zwischen Leipzig Messe und Leipzig Hbf;neue Gleisverbindung Leipzig Radefeld/GVZ- Leipzig Messe für konfliktfreie Einführung S-Bahn auf S-Bahn Gleise (6411) in Leipzig Messe;Leipzig Radefeld/GVZ – Leipzig Messe;78,4;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;5919;;;;;ja;Knoten Leipzig; 
54;Deutschlandtakt ABS Leipzig Messe Nord – Leipzig Messe;D-54;ABS Leipzig Messe Nord – Leipzig Messe;Mischverkehrsstrecke, Kapazitätssteigerung aufgrund Mengenaus- weitung SPFV, Trennung S-Bahn/ SPFV zwischen Leipzig Messe und Leipzig Hbf, konfliktfreie Einführung SPFV/SPNV-Ströme von Flughafen Leipzig/Halle und Bitterfeld;Anpassung (zusätzliche Weichen) Leipzig Messe Nord- Leipzig Messe;Leipzig Messe Nord – Leipzig Messe;77;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;6411/6388;;;;;ja;Knoten Leipzig; 
55;Deutschlandtakt ABS Knoten Leipzig;D-55;ABS Knoten Leipzig;Mischverkehrsstrecke, Kapazitätssteigerung aufgrund Mengenausweitung SPFV und SPNV;Leipzig VolkmarsdorfBft- Leipzig Hbf: neue Weichenverbindung im Bahnhofsvorfeld, damit Gleis 11 von Dresdner Gleise (Strecke 6363) erreichbarwird;Knoten Leipzig;6,4;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;6363;;;;;ja;Knoten Leipzig; 
56;Deutschlandtakt ABS Lübeck – Bad Schwartau;D-56;ABS Lübeck – Bad Schwartau;Mischverkehrsstrecke, Kapazitätssteigerung aufgrund Mengenaus- weitung SPNV, Umsetzung des vom Land gewünschten Mengenge- rüsts und bessere Knoteneinbindung Lübeck;drittes Gleis Lübeck- Bad Schwartau aufgrund paralleler Fahrten;Lübeck – Bad Schwartau;329,8;;WAHR;;;;WAHR;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Lübeck - Bad Schwartau;mittelbar;1100;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
57;Deutschlandtakt ABS Ratzeburg – Büchen;D-57;ABS Ratzeburg – Büchen;Kapazitätssteigerung bzw. Engpassauflösung bedingtdurch die Ka- pazitätsausweitung auf Wunsch des Landes nach 30-Minuten-Takt Lübeck- Büchen im Wechselspiel mitdem SGV;Zweigleisiger Ausbau Ratzeburg - Büchen südlich Güster bis nörd- lieh Büchen;Ratzeburg – Büchen;69,7;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Lübeck - Büchen;mittelbar;1121;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
58;Deutschlandtakt ABS Hamburg Hbf – Hamburg-Bergedorf;D-58;ABS Hamburg Hbf – Hamburg-Bergedorf;Durchgehende Zweigleisigkeit für Relation Hamburg - Büchen aus Strecken 6100 (Richtung Hamburg) und 1245 (Richtung Berlin), Ka- pazitätssteigerung bzw. Engpassauflösung im Knoten Hamburg bei gleichzeitiger Knoteneinbindung in Harnburg und Wittenberge;Hamburg Hbf – Hamburg-Bergedorf: Ertüchtigung der Strecke 1245 für zusätzliche Fahrmöglichkeit Harnburg - Berlin;Hamburg Hbf – Hamburg-Bergedorf;37,9;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;6100/1245;;;;;ja;Knoten Hamburg; 
59;Deutschlandtakt Knoten Hamburg (Südkopf);D-59;Knoten Hamburg (Südkopf);Durchgehende Zweigleisigkeitfür Relation Hamburg - Büchen aus Strecken 6100 (Richtung Hamburg) und 1245 (Richtung Berlin);Hamburg Hbf: Umbau Südkopf:Verkürzung Bahnsteig 7/8,Anbin- dung Gleise 6 und 7 in Richtung Abstellbahnhof/Strecke 1245;Knoten Hamburg (Südkopf);8,4;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;6100/1120;;;;;ja;Knoten Hamburg; 
60;Deutschlandtakt NBS Tieflegung Verbindungsbahn S-Bahn;D-60;NBS Tieflegung Verbindungsbahn S-Bahn;Kapazitätssteigerung bzw. Engpassauflösung für den Fern-und Regionalverkehrzwischen Hamburg Hbf und Hamburg Altona Nord mit konsequenter Umsetzung des Halts Hamburg Dammtor;Hamburg Hbf: Umbau Gleise 3/4 für Fern- und Regionalverkehr und Tieflegung S-Bahn von derVerbindungsbahn mitzwei zusätzlichen Bahnsteigkanten für die S-Bahn;Tieflegung Verbindungsbahn S-Bahn;2659,3;WAHR;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Knoten Hamburg;mittelbar;6100/1120;;;;;ja;Knoten Hamburg; 
61;Deutschlandtakt Knoten Hamburg (Gleis 15);D-61;Knoten Hamburg (Gleis 15);Kapazitätssteigerung im Knoten Hamburg Hbf;Hamburg Hbf: neues Gleis 15 als Stumpfgleis;Knoten Hamburg (Gleis 15);24,9;;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Knoten Hamburg;mittelbar;2200/1250;;;;;ja;Knoten Hamburg; 
62;Deutschlandtakt ABS Hamburg Verbindungsbahn Verwendung für Fern- und Regionalverkehr;D-62;ABS Hamburg Verbindungsbahn Verwendung für Fern- und Regionalverkehr;Kapazitätssteigerung bzw. Engpassauflösung für den Fern-und Re- gionalverkehrzwischen Hamburg Hbf und Hamburg Altona Nord mit konsequenter Umsetzung des Halts Hamburg Dammtor;Hamburg-Altona- Hamburg Hbf: Umbau derS-Bahn-Strecke auf der Verbindungsbahn für Nutzung durch Fern- und Regionalverkehr;Hamburg Verbindungsbahn Verwendung für Fern- und Regionalverkehr;336;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;6100;;;;;ja;Knoten Hamburg; 
63;Deutschlandtakt ABS Hamburg Dammtor – Hamburg Altona;D-63;ABS Hamburg Dammtor – Hamburg Altona;Wechsel der Betriebsführung zwischen Linien- und Richtungsbetrieb auf der Verbindungsbahn Hamburg;Hamburg - Altona - Hamburg Hbf: Überwerfungsbauwerk zwischen Dammtor und Altona;Hamburg Dammtor – Hamburg Altona;246,2;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;6100;;;;;ja;Knoten Hamburg; 
64;Deutschlandtakt Knoten Wittenberge;D-64;Knoten Wittenberge;Aufwertung Knotenfunktion Wittenberge infolge von Verdichtung des SPFV und des RE Wismar- Berlin: 6 Züge gleichzeitig im Nullkno- ten, daher mehr Bahnsteigkapazitäterforderlich, zudem Verkürzung der Reisezeit für optimierte Knoteneinbindung in Wittenberge, Kapa- zitätssteigerung bzw. Engpassauflösung;"Wittenberge: zusätzliche Bahnsteigkante und Weichenverbindung; Optimierung LST fürgleichzeitige Ein- und Ausfahrten; Verkürzung Zugfolgezeiten v/n Berlin und Ludwigslust";Knoten Wittenberg;18,8;;;;;;;;;WAHR;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Hamburg - Berlin;unmittelbar;6100;;;;;ja;Hamburg - Berlin;  
65;Deutschlandtakt ABS Neustadt – Berlin (Spandau);D-65;ABS Neustadt – Berlin (Spandau);Ausweitung der Kapazität aufgrund erweitertem Mengengerüst SPFV und SPNV fürüberholungsfreie, schnellere Trassierung des RE zur Knoteneinbindung in Wittenberge und besserer Zugverteilung zw. Nauen und Berlin-Spandau;drittes Gleis zw. Neustadt und Nauen (SPNV in der Mitte mit Bahn- steigen, SPFV außen ohne Bahnsteige) drittes und viertes Gleis zw. Nauen und Berlin-Spandau (Richtungs- betrieb, langsame Gleise mit Mittelbahnsteig innen);Neustadt – Berlin (Spandau);901,3;;WAHR;;;;WAHR;WAHR;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Hamburg - Berlin;mittelbar;6100;;;;;ja;Hamburg - Berlin; 
66;Deutschlandtakt ABS Berlin Südkreuz – Ludwigsfelde;D-66;ABS Berlin Südkreuz – Ludwigsfelde;Ausweitung der Kapazität für überholungsfreie Trassierung des RE aufgrund erweitertes MengengerüstSPFV und SPNV, Dichtes SPFV-Fahrplangerüstauf der Anhalter Bahn, Ziel: Trassierung von drei überholungsfreien,schnelleren SPNV-Trassen zwischen Berlin und Jüterbog zur Knoteneinbindung, Engpassauflösung;viergleisiger Ausbau Berlin Südkreuz- Ludwigsfelde inkl. Einbin- dung in Berlin Südende;Berlin Südkreuz – Ludwigsfelde;687,5;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Berlin - Halle (Saale);unmittelbar;6132;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
67;Deutschlandtakt Knoten Jüterborg;D-67;Knoten Jüterborg;Kapazitätsausweitung aufgrund Mehrverkehr SPFV und SPNV, er- weiterter Knoten Jüterbog und Uberholungen durch SPFV-Züge;Reaktivierungen von Bahnsteig Gleis 5 in Jüterbog für Züge v/n Treuenbrietzen;Knoten Jüterborg;7,7;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Berlin - Halle (Saale);unmittelbar;6132;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
68;Deutschlandtakt ABS Linda – Holzdorf;D-68;ABS Linda – Holzdorf;Umsetzung Stundentakt Jüterbog - Falkenberg auf Wunsch des Lan- des unter Beachtung der Mengenausweitung SPFV zwischen Berlin und Jüterbog;Linda- Holzdorf: Begegnungsabschnitt(ohne Ausbau der Stationen) aufgrund angepasster Fahrlage als Folge der Streckenbelegung Ber- lin- Jüterbog;Linda – Holzdorf;39,4;;WAHR;;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Jüterborg - Falkenberg;mittelbar;6133;;;;;ja;Maßnahmen Ost; 
69;Deutschlandtakt Knoten Berlin Hbf (tief);D-69;Knoten Berlin Hbf (tief);Kapazitätssteigerung im hochbelasteten Abschnitt durch Optimie- rung LST, so dass die Durchrutschwege nicht in andere Fahrstraßen reichen;Berlin Hbf (Nord-Süd-Tunnel): Einbau der Optionsweichen zur Herstellung weiterer Fahrstraßen;Berlin Hbf (tief);27,2;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Berlin;unmittelbar;3134/6171;;;;;ja;Knoten Berlin; 
70;Deutschlandtakt Abzw. Salchow;D-70;Abzw. Salchow;Kapazitätssteigerung im hochbelasteten Abschnitt westliche Zufahrt zum Flughafen BER;Abzweig Salchow: Überwertung zur niveaufreien Fahrmöglichkeit von Berlin Flughafen BERauf den Außenring;Abzw. Salchow;245,4;;;;;;;;;;;;;;;;WAHR;;;;;;;;;FALSCH;FALSCH;WAHR;;;Berlin - Dresden;mittelbar;6151/6317;;;;;ja;Knoten Berlin; 
71;Deutschlandtakt Knoten Berlin-Spandau (Westkopf);D-71;Knoten Berlin-Spandau (Westkopf);Kapazitätssteigerung Berlin-Spandau im hochbelasteten Abschnitt, damit parallele Einfahrten/Ausfahrten von/nach verschiedenen Glei- sen möglich sind, streckenreine Linienführung;Umbau Westkopf Berlin-Spandau zurviergleisigen Einbindung der Hamburger Bahn, Zweigleisiger Ausbau der Strecke 6179 zwischen Nennhauser Damm und Berlin-Spandau, zusätzlicher Bahnsteig mit zwei Bahnsteigkanten an der Güterstrecke bzw. den beiden südlichen Gleisen;Knoten Berlin-Spandau (Westkopf);153,3;;;;;WAHR;;WAHR;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Berlin;unmittelbar;6179/6100/6185;;;;;ja;Knoten Berlin; 
72;Deutschlandtakt Knoten Hagenow Land;D-72;Knoten Hagenow Land;Kapazitätssteigerung bzw. Engpassauflösung im hochbelasteten Ab- schnitt, damit parallele Fahrten Hamburg -Schwerin bei gleichzeiti- ger erforderlicher Knoteneinbindung in Hamburg, Schwerin und Rostock möglich sind, Veränderte Fernverkehrslagen SOV)!ierung eines stündlich vertakteten SPNV ohne zusätzliche Uberholun- gen durch den SPFV Realisie-;durchgehende Zweigleisigkeit im Bahnhof Hagenow Land für die Relation Hamburg-Schwerin;Knoten Hagenow Land;10;;;;;WAHR;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Berlin - Hamburg;unmittelbar;6100;;;;;ja;Berlin - Hamburg; 
73;Deutschlandtakt ABS Knoten Rövershagen;D-73;ABS Knoten Rövershagen;Stundentakt RB Rostock - Graal-Müritz, veränderte SPFV-Lage auf Mischverkehrsstrecke, Kapazitätssteigerung bzw. Engpassauflösung;Umbau Rövershagen zum Kreuzungsbahnhofv/n Graal-Müritz, inkl. Beseitigung des höhengleichen Bahnsteigzugangs;Knoten Rövershagen;11,1;;;;;;;;;;WAHR;;;;;;;;;;WAHR;;;;;FALSCH;FALSCH;WAHR;;;Rostock - Stralsund;mittelbar;6322;;;;;ja;Maßnahmen Ost; 
74;Deutschlandtakt Knoten Neustrelitz;D-74;Knoten Neustrelitz;Kapazitätsausweitung Neustrelitz aufgrund Knotenbildung zum Null- knoten Neustrelitz und geänderter Fahrlage SPFV;Neustrelitz: Bau einer zusätzlichen, beidseitig angebundenen Bahn- steigkante;Knoten Neustrelitz;7,7;;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Knoten Neustrelitz;mittelbar;6325;;;;;ja;Maßnahmen Ost; 
75;Deutschlandtakt ABS Ingolstadt – Petershausen;D-75;ABS Ingolstadt – Petershausen;Kapazitätssteigerung bzw. Engpassauflösung unter Wahrung der Knotenzeiten des SPFV und SPNV sowie Mehrverkehr im SPFV;Ingolstadt- Petershausen: Ergänzung um ein drittes und viertes Gleis;Ingolstadt – Petershausen;973,1;;WAHR;;;;WAHR;WAHR;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Ingolstadt - München;unmittelbar;5501;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
76;Deutschlandtakt Knoten Tannheim;D-76;Knoten Tannheim;Kapazitätsausweitung aufgrund SGV-Prognose;Ein Gleis für SGV zusätzlich zu SPV-Planungen (Verlängerung Uberholgleis Bf Tannheim);Knoten Tannheim;9,6;;;;;;;;;;;;WAHR;1;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Lindau - München;unmittelbar;4570;;;;;ja;Maßnahmen Bayern; 
77;Deutschlandtakt Knoten Würzburg (Rangierbahnhof);D-77;Knoten Würzburg (Rangierbahnhof);Kapazitätsausweitung aufgrund SGV-Prognose;Veitshöchheim -Würzburg Rbf: mittiges Puffergleis für den Güterverkehr (EinfahrtWürzburg Rbf);Knoten Würzburg Rbf;18,2;;WAHR;;;;WAHR;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Würzburg - Aschaffenburg;unmittelbar;5200;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
78;Deutschlandtakt NBS Ulm – Augsburg;D-78;NBS Ulm – Augsburg;Zielfahrzeit Augsburg - Ulm (nonstop) von 26 Minuten zur Knoten- einbindung, Kapazitätsausweitung für Mehrverkehr;Aus-/Neubaustrecke Neu-Ulm -Augsburg inkl. Anbindung von Günzburg;Ulm – Augsburg;2038,3;WAHR;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Augsburg - Ulm;unmittelbar;5302;BY;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
79;Deutschlandtakt Knoten Blindheim;D-79;Knoten Blindheim;Kapazitätsausweitung aufgrund SGV-Prognose;Blindheim: drittes Gleis;Knoten Blindheim;13;;WAHR;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Ingolstadt - Günburg - Donauwörth;unmittelbar;5381;BY;;;;ja;Maßnahmen Bayern; 
80;Deutschlandtakt Knoten Weichering;D-80;Knoten Weichering;Kapazitätsausweitung aufgrund SGV-Prognose, Anschlüsse in den;Weichering: Nutzbarmachung und Anpassung des 3. Gleises für den SGV (Nutzlänge und LST);Knoten Weichering;15,5;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Ingolstadt - Günburg - Donauwörth;unmittelbar;5381;BY;;;;ja;Maßnahmen Bayern; 
81;Deutschlandtakt Knoten Rohrenfeld;D-81;Knoten Rohrenfeld;Kapazitätsausweitung aufgrund SGV-Prognose, Anschlüsse in den Knoten Ingolstadt und Donauwörth;Rohrenfeld: Drittes Gleis für den Güterverekhr;Knoten Rohrenfeld;13;;;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Ingolstadt - Günburg - Donauwörth;unmittelbar;5381;BY;;;;ja;Maßnahmen Bayern; 
82;Deutschlandtakt Tahldorf – Weltenburg;D-82;Tahldorf – Weltenburg;Kapazitätsausweitung aufgrund SGV-Prognose, Anschlüsse in den Knoten Ingolstadt und Donauwörth;Tahldorf - Weltenburg: Neuer Kreuzungsbahnhof für Güterzugkreuzung;Tahldorf – Weltenburg;12,9;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Regensburg - Ingols;unmittelbar;5851;BY;;;;ja;Maßnahmen Bayern; 
83;Deutschlandtakt Freising – Regensburg;D-83;Freising – Regensburg;Zielfahrzeit Freising - Regensburg von 76 Minuten für den Fernverkehr mit einem Zwischenhalt zur Anschlussherstellung Fahrzeitverkürzung München - Prag und optimaler Knoteneinbindung der Züge in den Knoten in Bayern und Tschechien;Erhöhung der Streckengeschwindigkeit auf 160 km/h;Freising – Regensburg;587,4;;;;;;;;;;;;;;;;;;WAHR;160;;;;;;WAHR;WAHR;WAHR;;;München - Landshut - Regensburg;unmittelbar;5500;;;;;ja;Maßnahmen Bayern; 
