Streckennummer:;Anfangkm:;Endekm:;Streckenname:
1233;-17;1.687;Hmb-Langenfelde Bbf - Hmb-Altona. Paketpostbf (Glan).G-Bahn
1234;-5;21.164;Hmb-Eidelstedt Gbf. W 46 - Hmb-Rothenburgsort. W 182. G-Bahn
1239;11.300;17.300;Ohlsdorf - Flughafen Hamburg. S-Bahn
1240;286.672;292.875;Hamburg Hbf - Hmb-Altona. W 751. S-Bahn
1241;0;17.457;Hamburg Hbf - Hmb-Poppenbüttel. S-Bahn
1242;56.720;59.504;Hamburg-Wandsbek. W 103 - Hamburg-Horn. W 5
1243;9.468;11.407;Barmbek Gbf. W 50 - Ohlsdorf. W 86. G-Bahn
1244;0;25.500;Hamburg Hbf - Aumühle. S-Bahn
1245;226;2.874;Hmb-Rothenburgsort. W 190 - Hamburg Hbf. W 406. G-Bahn
1246;0;100;ehemalige Strecke - HH-Bergedorf - Hamburg Hgbf
1247;342;7.719;Ohlsdorf. W 96 - Hmb-Ochsenzoll. G-Bahn
1248;629;5.069;Hmb Kai rechts. (Glan) - Hmb Süd. G-Bahn
1249;51.180;59.700;Rahlstedt - Hasselbrook. S-Bahn (Planungstitel)
1250;344.000;355.564;Hmb-Harburg. Nordkopf - Hamburg Hbf. W 442. G-Bahn
1251;0;5.200;Hmb-Waltershof (Glan) - Hmb-Finkenwerder. G-Bahn
1252;-113;2.981;Hamburg Unterelbe. Stw Huf. W 1 - Hmb Unterelbe Seehafen. G-Bahn
1253;-28;16.950;Hmb-Wilhelmsbg..Abzw Süderelbbr. W3 - Hmb-Waltershof (Glan). G-Bahn
1254;-266;644;Abzw Süderelbbrücke (Brack) - Hmb Hohe Schaar. Kow (Glan). G-Bahn
1255;0;12.490;Maschen. W 1219 - Hmb Süd (Glan). W 5. G-Bahn
1256;-114;3.741;Hmb-Harburg. Po 340.W 2 - Hmb-Harburg. Nordkopf. G-Bahn
1257;0;552;Hmb-Harburg. W 603 - Hmb-Harbg.Nordkopf.W646.Gl.5+6.G-Bahn
1258;-145;1.264;Hmb Unterelbe Seehafen. W 23 - Hmb Unterelbe Lotsehafen(Glan).G-Bahn
1259;0;1.221;Hmb-Harburg. W 550 - Hmb-Harbg.Nordkopf.W645.Gl.3+4.G-Bahn
1260;-152;25.630;Hesedorf - Stade. W 3
1261;0;1.880;Buxtehude. W 400 - Buxtehude Ost (Glan). G-Bahn
1262;41;1.828;Stade Symphonie - BD-Grenze(Stadersand. NWK). G-Bahn
1263;-975;8.895;Stade. W 100 - Bützfleth. G-Bahn
1264;-33;3.260;Cuxhaven. Po II. W 403 - Cuxhaven. Amerika-Bahnhof (Glan)
1265;0;3.710;Cuxhaven. Stw Cs. W 51 - Neuer Fischereihafen (Glan). G-Bahn
1266;0;718;Bützfleth. W 219 - BD-Grenze(Bützfleth. DOW-VAW). G-Bahn
1267;0;300;Stadersand - BD-Grenze (Stadersand.NWK-KKW).G-Bahn
1268;0;809;Hamburg-Neugraben. W 31 - Verladeanlage Fischbek (Glan). G-Bahn
1270;0;7.830;Hamburg Hbf --Landungsbrücken-- - Diebsteich. S-Bahn
1271;596;22.429;Hamburg Hbf. W 28 - Hmb-Neugraben. S-Bahn
1272;0;100;ehemalige Strecke - Hamburg-Altona - Hamburg Lurup
1280;-1.476;49.240;Buchholz (Nordh). W 105 --Maschen-- - Abzw. Allermöhe. G-Bahn
1281;157.682;161.043;Stelle. W 4 - Rbf Maschen. W 2200. G-Bahn
1282;0;100;ehemalige Strecke - Maschen Rbf - Hamburg-Horn
1283;280.867;323.475;Rotenburg (Wümme). W 12 - Buchholz (Nordh.).W 261 (Mittelgleis)
1284;17.673;22.912;Stelle. W2 - Maschen Rbf W 1363
1290;-696;1.235;Hmb-Wilhelmsburg. W 246 - Peute (Glan). G-Bahn
1291;281.613;285.035;Rothenburgsort. W 121 - Hamburg Hbf (Oberhafen). W 715 (Planungst.)
1300;168;92.940;Bremerhaven Wulsdorf. W 5 - Buchholz (Nordheide)
1301;-758;2.057;Bremerhaven-Wulsdorf. W 6 - Brh Fischereihafen. G-Bahn
