Streckennummer:;Anfangkm:;Endekm:;Streckenname:
2130;2.112;7.182;Abzw Flm. W 602 (Do-Lütgendortm.Gbf) - Dortmund Gbf. W 19. G-Bahn
2131;-66;2.607;Abzw Deusen. W 3 - Dortmund Gbf. W 21. G-Bahn
2132;258;11.955;Abzw Nette. W 401 - Dortmund Scharnhorst. W 59. G-Bahn
2133;-459;4.344;Abzw Hansa. W 503 - Dortmund Hbf. G-Bahn
2134;17.838;19.509;Dortmund-Rahm. W 5 - Dortmund Gbf. W 4. G-Bahn
2135;-348;2.805;Dortmund-Bodelschwingh - Dortmund-Mengede. W 9. G-Bahn
2136;43.075;47.261;Abzw Buschstraße - Dortmund-Bodelschwingh
2137;0;1.575;Dortmund-Rahm - Abzw Buschstraße
2140;-143;6.828;Bochum-Langendreer. W 4 - Witten Hbf
2141;894;13.249;Bochum-Langendreer. Bezirk Kreuz. W 85 - Dortmund-Löttringhausen
2142;141;1.109;Bochum-Langendreer. W 210 - Bezirk Kreuz. W 87. G-Bahn
2143;0;19.460;Witten Hbf - Schwelm. W 426
2144;0;2.793;ehem. Witten Höhe - Wengern Ost. W 117
2150;144.108;147.919;Bochum Hbf. W 22 - Abzw Prinz von Preussen. W 1. G-Bahn
2151;49.044;63.548;Bochum Präsident. W 41 - Abzw Flm.W 602(DO-Lütgendo.Gbf)G-Bahn
2152;164;1.713;Bochum Präsident. W 41 - Bochum-Riemke. W 92
2153;14.334;33.140;Bochum Hbf. W 72 - Abzw Nordstern. W 263
2154;1.922;8.735;Bochum-Riemke - Wanne-Eickel Hbf. W 272. G-Bahn
2155;718;4.927;Bochum Nord. W 57 - Bochum-Weitmar. W 57. G-Bahn
2156;148.622;152.757;Abzw Prinz von Preussen - Bochum-Langendreer
2157;148.090;153.388;Abzw Prinz von Preussen - Bochum-Langendreer
2158;146.013;164.347;Bochum Hbf - Dortmund Hbf
2160;204;16.086;Essen Hbf --Wattenscheid-- - Bochum Hbf
2161;251;9.078;Essen-Werden - Essen Hbf. W 57
2162;0;408;Essen Hbf. Gl 124. W 169 - W 193. G-Bahn
2163;-479;5.637;Essen Hbf. W 31 - Essen-Kray Nord
2164;579;3.925;Essen Hbf. W 159 - Essen-Kray Süd. W 506
2165;0;20.036;Essen-Überruhr - Bochum-Langendreer. W 118
2166;0;904;Essen-Steele Ost. W 81 - W 92. G-Bahn
2167;5.046;7.313;Bochum-Dahlhausen. W 301 - W 397
2168;0;4.640;Essen-Kray Nord - Gelsenkirchen Hbf
2169;129.084;134.010;Essen Hbf. W 35 - Essen-Steele. W 105. G-Bahn
2170;10;4.412;Essen-Altenessen - Essen Nord. W 103 G-Bahn
2171;0;1.342;Essen Nord - ehem. Essen-Stoppenberg
2172;6.856;10.421;Essen-Katernberg Nord - ehem. Abzw Hessler. G-Bahn
2173;3.516;5.767;ehem. Essen-Stoppenberg - Essen-Altenessen. G-Bahn
2174;9.501;12.135;Essen-Borbeck. W 203 - ehem. Abzw Esn-Altendorf. G-Bahn
2175;-492;1.925;Essen Hbf. W 010 - W 184
2176;0;100;ehemalige Strecke - Abzw Frillendorf - Essen Ost
2177;0;100;ehemalige Strecke - Essen-Bergeborbeck - Essen Nord
2178;1.753;3.034;ehem. Essen-Segeroth. W 40 - Gleis 2. G-Bahn
2180;9;15.100;Mülheim (Ruhr)-Heissen. W 65 - Altendorf (Ruhr). G-Bahn
2181;25;3.507;Mülheim (Ruhr)-Heissen. W 67 - Essen West. W 479
2182;0;1.012;Mülheim (Ruhr)-Heissen - ehem. Abzw Schönebeck
2183;0;4.315;Mülheim (Ruhr)-Styrum - Oberhausen Hbf. W 107
2184;137;6.320;Mülheim (Ruhr)-Styrum - Duisburg Hbf
2185;0;14.092;Kettwig - Mülheim (Ruhr)-Styrum
2186;11.607;12.733;Abzw Essen-Borbeck Süd. W 220 - Essen West. W 401. G-Bahn
2187;376;887;Mülheim (Ruhr)-Styrum. W 10 - W 4. G-Bahn
2188;114.077;115.638;Alstaden. W 11 - Mülheim (Ruhr)-Styrum. W 5
2190;0;19.082;Bochum Hbf - Dortmund Hbf. S-Bahn
2191;0;9.469;Dortmund-Mengede. W 9 - Dortmund-Dorstfeld. W 61. S-Bahn
2192;0;100;ehemalige Strecke - Dortmund Hbf - Dortmund Hoerde
2193;0;1.367;Essen-Überruhr. W 106 - Essen-Steele. W 103
2194;0;787;Bochum Hbf. W 216 - Bochum West. W 165. S-Bahn
2200;-256;355.910;Wa.-Eickel Hbf. W 74 --Bremen Hbf-- - Hamburg Hbf. W 472
2201;1.630;2.812;Wanne-Eickel Hbf. W 656 - Abzw Baukau. W 102. G-Bahn
2202;22.182;25.604;Herne-Rottbruch W 6 - Wanne-Eickel Hbf. W 149
2203;-645;3.060;Wanne-Eickel Hbf. W 271 - Wanne Unser Fritz. W 011
2204;-1.431;4.694;Wanne-Eickel Hbf. W 636 - Wanne Unser Fritz. W 012. G-Bahn
2205;1.386;2.433;Wanne-Eickel Hbf. W 9 - Ehem.Abzw Bickern. G-Bahn
2206;2.433;31.153;(Wanne-Eickel) ehem. Abzw Bickern - ehem. Duisb.-Meiderich Nord.G-Bahn
2207;146;1.728;Abzw Baukau. W 104 - Abzw Crange (Wa-Eickel).W 001. G-Bahn
2208;93.837;101.297;Wanne-Eickel Hbf. W 29 - Herne. W 374. G-Bahn
2209;0;6.280;Essen-Kray Nord - Wanne-Eickel Hbf
2210;-171;22.526;Herne. W 50 --Castrop-Rauxel Süd-- - Dortmund Hbf. W 123
2211;2.353;5.343;Herne. W 365 - Castrop-Rauxel Süd. W 601. G-Bahn
2212;22.155;23.874;Herne-Rottbruch. W 5 - Herne. W 59
2213;0;9.689;Dortmund-Bövinghausen - Dortmund-Dorstfeld. W 56. S-Bahn
2221;0;4.140;Recklinghausen Süd - Herne. W 65
2222;0;4.967;Recklinghausen Süd - Recklinghausen Ost. W 2. G-Bahn
2223;-12;3.505;Abzw Blumenthal. W 123 - Recklinghausen Hbf. W 61
2224;125;3.061;Recklinghausen Ost. W 21 - Recklinghausen Hbf. W 45
2225;121;3.119;Recklinghausen Süd. W 10 - Zeche Ewald (Glan). G-Bahn
2230;0;9.141;ehem. Abzweigung Hessler - Wanne-Eickel Hbf. W 149. G-Bahn
2231;-160;4.203;Gelsenkirchen Hbf. W 026 - Wanne-Eickel Hbf. W 11. G-Bahn
2232;2.699;8.841;Gelsenkirchen-Wattenscheid. W 805 - Wanne-Eickel Hbf. W 12. G-Bahn
2233;-136;2.718;Gelsenkir.-Wattenscheid. W 869 - G-Watten..Zeche Präsident(Glan)G-Bahn
2234;2.700;4.748;Gelsenkirchen-Rotthausen - Gelsenkirchen-Schalke Süd
2235;6.000;7.564;Gelsenkirchen-Bismarck - Gelsenkirchen-Schalke
2236;836;52.302;Gelsenk-Bismarck. W 267 --Dorsten-- - Borken (Westf) (DB-Grenze)
2237;2.789;4.820;Gelsenkirchen-Rotthausen - Gelsenkirchen Hbf
2238;4.612;7.435;Gelsenkirchen Hbf - (Wanne-Eickel) Abzw Pluto.W 20.G-Bahn
2239;88.838;93.810;Gelsenkirchen Hbf. W 024 - Wanne-Eickel Hbf. W 25. G-Bahn
2240;0;100;ehemalige Strecke - Essen-Dellwig Ost - Bottrop Hbf
2241;-16;1.762;Abzw Essen-Horl. W 825 - Essen-Bergeborbeck. W 102. G-Bahn
2242;34;2.429;Abzw Gerschede. W 753 - Bottrop Hbf. W 69. G-Bahn
2243;5.505;8.492;Abzw Essen-Dellwig. W 673 - Bottrop Süd. W 24. G-Bahn
2244;-48;1.700;Abzw Prosper Levin. W 704 - Abzw Esn-Frintrop. W 617. G-Bahn
2245;0;1.346;Abzw Essen-Horl. W 824 - Abzw Prosper Levin. W 705. G-Bahn
2246;2.890;14.339;Hugo. W 322 - Oberhausen-Osterfeld Süd. W 26. G-Bahn
2247;0;100;ehemalige Strecke - Bottrop Süd - Oberhausen Osterfeld
2248;102;2.965;Abzw Essen-Dellwig Ost. W 101 - Bottrop Hbf. W 2
2250;-480;77.083;Oberhausen-Osterfeld Süd. W 332 - Hamm (Westf). W 903
2251;0;1.541;Gladbeck West - Abzw Zweckel. W 1
2252;225;16.883;Gelsenkirchen-Buer Nord. W 28 - Abzw Lippe. W 12 (Haltern (Westf))
2253;295;7.762;Essen-Katernberg Nord - Oberhausen-Osterfeld Süd. W 7. G-Bahn
2254;-470;4.080;Essen-Vogelheim - ehem. Esn-Altenessen Rheinisch.G-Bahn
2255;0;1.050;ehem. Essen-Altenessen Rheinisch - Essen-Altenessen
2260;1.672;6.444;Abzw Grafenbusch. W 864 - Duisburg-Neumühl. G-Bahn
2261;0;1.700;ehem Oberhausen-Osterfeld Nord - Abzw Essen-Frintrop
2262;2.830;12.104;ehem. Abzw Osterfeld. W 357 - Bottrop Nord. G-Bahn
2263;80;19.460;Wesel - Bocholt. W 3
2264;6.900;17.470;(DB-Grenze) - Bocholt
2265;0;110.679;Empel-Rees --Coesfeld (Westf)-- - Münster (Westf). W 442
2266;7.560;10.500;ehem. Welle - Elten
2270;-478;72.613;Oberhausen Hbf. W 036 - Emmerich (DB-Grenze)
2271;-87;26.780;Oberhsn Hbf --Spellen (Niederrh)-- - Wesel
2272;0;2.178;Oberhausen Hbf. Stw Obn - Abzw Grafenbusch. W 862
2273;12.104;165.655;Bottrop Nord - Quakenbrück. W 2
2274;-321;8.896;Oberhausen Hbf. W 111 - Duisburg-Ruhrort
2275;0;2.107;Abzw Kolkmannshof. W 80 - Oberhausen Hbf
2276;0;100;ehemalige Strecke - Mülheim (Ruhr) Hbf - Oberhausen Hbf
2277;69.996;82.393;Oberhausen Hbf. W 009 - Essen-Altenessen. W 68. G-Bahn
2278;-71;1.257;Oberhausen Hbf. W 512 - Oberhausen West. W 245. G-Bahn
2280;1.451;14.572;Oberhausen West. W 250 - Essen West. W 487
2281;-508;2.205;Oberhausen West. W 82 - Oberhausen Hbf. Stw Obn. W 260. G-Bahn
2282;60;1.158;Oberhausen Hbf. W 505 - Stw Obn. G-Bahn
2283;1.927;3.217;Oberhausen Hbf. W 23 - Oberhausen West. W 487. G-Bahn
2290;137;6.302;Mülheim (Ruhr)-Styrum - Duisburg Hbf. S-Bahn
2291;116.367;146.013;Mülheim (Ruhr)-Styrum - Bochum Hbf. S-Bahn
2292;0;1.217;Hattingen (Ruhr). W 707 - Hattingen (Ruhr) Mitte. S-Bahn
2300;110.520;129.524;Duisburg-Meiderich Süd. W 15 - Essen Hbf
2301;0;5.077;Duisburg-Ruhrort Hafen - Duisburg-Meiderich Süd. W 190. G-Bahn
2302;-31;4.251;Duisburg-Ruhrort Hafen - Oberhausen West. W 203. G-Bahn
2303;1.015;1.682;Duisburg-Ruhrort Hafen. W 50 - Alstaden. W 50. G-Bahn
2304;1.586;3.895;Duisburg-Meiderich Ost. W 195 - Oberhausen West. W 175. G-Bahn
2305;19.900;20.940;ehem. Abzw Buschmannshof - ehem. Duisburg-Meiderich Nord
2306;723;4.847;Duisburg-Neumühl. W 3 - Duisburg-Hamborn. W 3
2310;-316;6.382;Duisburg-Großenbaum. W 208 - Duisburg Hbf. W 600. G-Bahn
2311;68;1.866;Duisburg-Hochfeld Süd. W 139 - Duisburg Hbf. W 445. G-Bahn
2312;-33;2.748;Duisburg-Hochfeld Süd. W 147 - Duisburg Hbf
2313;0;12.186;Duisburg Hbf. Stw Dbw --Du West-- - Duisb.-Hochfeld Süd. W 269. G-Bahn
2314;0;2.528;Duisburg-Hochfeld Süd. W 96 - DU-Niederrhein. Hütte (Glan). G-Bahn
2315;-1.563;5.210;Duisburg-Hochfeld Süd. W 15 - Duisburg-Wanheim. G-Bahn
2316;67;613;Sigle. W 12 - Duisburg Hafen
2317;55.569;58.189;Duisburg-Großenbaum. W 212 - Abzw Buchholz. W 274
2318;0;2.140;Abzw Ruhrtal - Abzw Kaiserberg
2319;0;1.859;Sigle. W 16 - Abzw Kaiserberg. W 918. G-Bahn
2320;1.009;17.836;Duisb-Wedau. W 45 --Oberh West-- - Oberh-Osterfeld Süd. W 275. G-Bahn
2321;0;13.388;Duisburg-Wedau. Stw 4 --Sigle-- - Oberhausen West. W 486. G-Bahn
2322;0;100;ehemalige Strecke - Duisburg-Wedau - Duisburg-Hochfeld Süd
2323;-132;6.371;Duisburg Hochfeld Süd. W 8 - Sigle. W 14 G-Bahn
2324;844;154.678;Mülheim (Ruhr)-Speldorf. W 3 - Niederlahnstein
2325;0;100;ehemalige Strecke - Mülheim (Ruhr)-Speldorf - Mülheim (Ruhr)-Broich
2326;-655;5.454;Duisburg-Bissingheim. W 448 - Duisburg Hbf
2327;983;6.374;Duisburg-Ruhrort Hafen. W 48 - Ohsn.West. Abzw Walzwerk.W 253.G-Bahn
2328;72;2.398;Duisburg-Hochfeld Süd. W 95 - Duisburg Hbf. Stw Dbw. G-Bahn
2329;0;2.861;Duisburg-Wedau. Stw 4 - Duisburg Entenfang. W 744. G-Bahn
2330;-273;62.777;Rheinhausen. W 22 --Xanten-- - Kleve. W 4
2331;-42;27.403;Moers. Abzw Meerbeck. W 2 - Oberhausen West. Abzw Walzwerk. W 254
2332;-895;5.325;Trompet. W 20 - Homberg (Ndrh). G-Bahn
2333;5.820;12.300;Hohenbudberg - Baerl
2340;-54;6.255;Abzw Mühlenberg. W 161 - Trompet. W 70. G-Bahn
2341;0;2.159;Abzw Mühlenberg. W165 - Abzw Borgschenhof. W 1
2342;42;2.596;Krefeld-Uerdingen Stw Uf. W 10 - Abzw Mühlenberg. W 162.G-Bahn
2343;0;2.630;Krefeld-Uerdingen W 2 - Bockum (Industriegleis). G-Bahn
2400;0;80.170;Düsseldorf Hbf --Essen-Überruhr-- - Hagen Hbf
2401;3.129;5.382;Düsseld-Derendorf. Stw Dnf (Hoch). W 975 - Abzw Vogelsang. W 1. G-Bahn
2402;48;1.098;Dü-Derendorf. Stw Dsf (Hoch). W 971 - Abzw Dora (Hoch). W 4. G-Bahn
2403;-150;1.074;Dü-Derendorf. Stw Dsf (Tief). W 61 - Abzw Dora (Tief). W 3. G-Bahn
2404;100;17.577;Ratingen West - Wülfrath. W 33
2405;192;1.609;Ratingen West.Abzw Tiefenbroich.W 3 - ehem. Abzw Anger. G-Bahn
2406;0;2.070;Düsseldorf Flughafen - Düsseldorf-Unterrath. W 852
2407;43.508;47.055;Düsseldorf Derendorf. W 825 - Dü-Unterrath. W 765
2408;0;536;Düsseldorf-Flughafen. W 884 - Düsseldorf-Unterrath. W 761. S-Bahn
2410;35.756;39.985;Düsseldorf-Lierenfeld. W 13 - Dü-Derendorf. Stw Dnf(Hoch).W 975.G-Bahn
2411;30.603;38.312;Düsseldorf-Reisholz.Stw Rgf.W371 - Dü-Derend.Stw Dsf(Tief).W 69.G-Bahn
2412;87.667;88.395;Düsseldorf-Bilk. W 34 - Düsseldorf Hbf. G-Bahn
2413;0;5.707;Düsseldorf-Eller - Düsseldorf Hbf
2414;538;4.281;Düsseldorf Hbf. W 52 - Dü Abstellbf. Gl Hoch
2415;-27;1.064;Düsseldorf Hbf. W 522 - Dü Abstellbf. Gl Tief. W 6
2416;0;4.942;Düsseldorf Hbf  - Dü-Unterrath. W 751. G-Bahn
2417;-88;1.959;Abzw Sturm. W 401 - Düsseldorf-Lierenfeld. W 13. G-Bahn
2418;-1.062;1.302;Düsseldorf-Eller. W 472 - Abzw Sturm. W 402
2419;-1.086;1.061;Düsseldorf Hbf. W 103 - Dü Abstellbf. Gl Tief. W 4
2420;-841;1.326;Düsseldorf-Gerresheim. W 132 - Abzw Hardt. W 306. G-Bahn
2421;2.300;3.641;Abzw Fortuna. W 15 - Abzw Hardt. W 303. G-Bahn
2422;1.748;3.509;Abzw Dora (Tief). W 1 - Düsseldorf-Grafenberg. G-Bahn
2423;4.442;73.742;Düsseldorf-Gerresheim. W 122 - Abzw Westfalenhalle (Dortmund). W 205
2500;-252;5.912;Krefeld Hbf. W 93 - Krefeld-Linn. W 70. G-Bahn
2501;-530;19.990;Krefeld Hbf. W 44 - MG-Neuwerk (ehem. Abzw Eicken). G-Bahn
2502;0;100;ehemalige Strecke - Krefeld Hbf. W 55 - Krefeld Süd
2503;0;100;ehemalige Strecke - Krefeld-Oppum. Stw Of - Stw Ko
2504;-128;11.281;Krefeld. Abzw Lohbruch. W 2 - Rheinhausen. W 77. G-Bahn
2505;44;51.189;Krefeld-Oppum --Du-Hochfeld Süd-- - Bochum Nord. W 62
2510;-1.170;19.344;Viersen. W 94 - Kaldenkirchen (DB-Grenze)
2511;875;4.618;Neersen - Viersen
2512;292;17.876;Kempen (Niederrhein) - Kaldenkirchen. W 5. G-Bahn
2513;290;14.733;Dülken. W 630 - Brüggen (Niederrhein)
2514;240;1.681;Geldern Ost - Geldern. G-Bahn
2515;0;40.220;Büderich --Xanten-- - Hassum (DB-Grenze)
2516;4;5.117;Kleve. W 76 - Spyck. G-Bahn
2517;-60;7.684;Alpen. W 1 - Büderich. G-Bahn
2518;0;23.500;ehem Abzw Bk Vernum - Moers. Abzw Meerbeck
2520;63.593;90.451;Mönchengladbach Hbf. W 15 - Krefeld-Oppum. Personentunnel
2521;-384;6.880;Mönchengladbach Hbf. W 78 - Rheydt-Odenkirchen. Stw Of
2522;-803;12.702;Viersen-Helenabrunn.W 215 - Rheydt Gbf. W 18. G-Bahn
2523;0;4.400;Rheydt Gbf. Stw R 1 - Mönchengladbach-Speick. G-Bahn
2524;-345;21.260;Rheydt Hbf. W 51 - Dalheim (DB-Grenze)
2525;0;50.303;Neuss. W 54  --Schwelm-- - Abzw Linderhausen. W 482. S-Bahn
2530;-1;14.956;Neuss. W 46 - Neersen. W 3
2531;3;4.935;Neuss. Abzw Nordkanal. W 3 - Abzw Weißenberg. W 312. G-Bahn
2532;10;687;Neuss. Abzw Nordkanal. W 1 - W 7. G-Bahn
2533;80.570;82.690;Neuss. W 45 - Abzw Erftkanal. W 182. G-Bahn
2534;144;6.780;Neuss. W 110 - Düsseldorf-Oberkassel. G-Bahn
2535;-33;1.073;Neuss. Abzw Erftkanal. W 185 - Abzw Weißenberg. W 300
2536;0;637;Neuss Steinhausstr..W 31 - Neuss. W 56
2540;11.086;34.641;Linnich - Dalheim. W 3. G-Bahn
2541;-950;1.392;Baal Gbf. W 24 - Baal West. W 39
2542;-626;12.306;Lindern. W 22 - Heinsberg (Rheinl). G-Bahn
2543;27.310;28.936;(DB-Grenze) Herzogenrath - Stw Hs. W 3
2544;1.402;13.290;Stolberg (Rheinl). Abzw Quinx - Kohlscheid. G-Bahn
2545;5.691;8.510;Abzw Richterich. W 432 - (DB-Grenze)
2550;1.612;345.182;Aachen Hbf. W 25 --Arnsberg (W.)-- - Kassel Hbf
2551;0;100;ehemalige Strecke - Aachen Hbf. W 25 - W 26
2552;-1.423;5.380;Aachen West. W 141 - (DB-Grenze). G-Bahn
2553;419;951;Aachen West. W 3 - W 301. G-Bahn
2554;3.223;4.300;(DB-Grenze) - Aachen. Buschtunnel
2555;5;26.069;Aachen Nord - Kirchberg (b Jülich)
2556;31;5.700;Mariagrube. Stw Mwf. W 9 - Siersdorf.Grube Mayrisch(Glan).G-Bahn
2557;-31;730;Mariagrube. Stw Mwf. W 9 - Abzw Kellersberg. W 101
2560;-9;4.307;Haaren (b Aachen). Stw Hf - Aachen Rothe Erde. W 72. G-Bahn
2561;55;442;Haaren (b Aachen). W 3 - W 8. G-Bahn
2562;0;100;ehemalige Strecke - Aachen Rothe Erde. Stw Rof Stw Rpf
2563;-238;11.100;Aachen Rothe Erde. W 146 - Hahn. G-Bahn
2564;68.411;69.610;Aachen Rothe Erde. Gl 14. W 1 - Aachen Hbf. W 13
2570;30;19.630;Stolberg (Rheinl) Hbf - Herzogenrath. G-Bahn
2571;11.517;57.660;Hochneukirch. W 3 - Stolberg (Rheinl) Hbf
2572;0;17.270;Stolberg (Rheinl) Hbf - Walheim(b Aachen).(DB-Grenze).G-Bahn
2573;-496;1.646;Stolberg (Rheinl) Hbf. Stw Sof - Stw Sif. W 275. G-Bahn
2574;0;3.550;Stolberg (Rheinl) Hbf - BD-Grenze(Münsterb..Zinkhütte).G-Bahn
2580;0;50.865;Düren - Neuss. Abzw Erftkanal. W 184
2581;94;9.700;Bedburg (Erft).W 61 - ehem. Abzw Martinswerk
2582;1.350;12.950;Bedburg (Erft) - Ameln
2583;14.588;15.581;Düren - Düren. W 247
2584;-353;938;Düren. W 60 - Düren
2585;0;29.816;Düren - Euskirchen. W 94. G-Bahn
2600;0;76.960;Köln Hbf - Aachen Hbf (DB-Grenze)
2601;12.984;34.095;ehem. Bf Mödrath - Rommerskirchen
2602;-12;1.909;Horrem. Stw Ho. W 4 - W 89
2603;0;4.530;Elsdorf (Rheinl) Ost - Zieverich
2604;6.110;11.260;Bergheim (Erft) - Niederaussem
2605;6.402;19.860;ehem. Bf Mödrath - Nörvenich
2606;0;12.984;Erftstadt - ehem. Bf Mödrath
2607;-160;6.402;Benzelrath - ehem. Bf Mödrath
2608;0;2.300;Köln Hbf (Gegenrichtung) - Aachen Hbf (DB-Grenze)
2609;-360;1.600;Erftstadt - Liblar Dorf. G-Bahn
2610;907;131.100;Köln Hbf. W 612 - Kranenburg (DB-Grenze)
2611;2.425;49.625;Köln-Ehrenfeld. W 36 - Rheydt Hbf. W 43
2612;2.660;3.518;Köln-Ehrenfeld. Stw Ef. W 40 - W 44. G-Bahn
2613;0;6.399;Köln-West. Stw Gs - Köln-Ehrenfeld. Stw Ef. W 41. G-Bahn
2614;-18;797;Köln-Nippes. W 601 - Köln-Ehrenfeld. W 1. G-Bahn
2615;0;8.175;Köln-West. Stw Gz. W 51 - Köln-Longerich. W 831. G-Bahn
2616;0;1.000;Köln Hbf - Köln Bbf
2617;-161;2.198;Köln Bbf. W 72 - Köln-West. Stw Gs. W 14
2618;909;2.300;Köln Hbf. W 617 (Gegenrichtung) - Kranenburg (DB-Grenze)
2619;4.100;16.700;Rommerskirchen - Holzheim
2620;0;16.180;Köln-Hbf - Köln-Worringen. W 431. S-Bahn
2621;0;3.531;Köln-Deutz. Abzw Posthof. W 151 - Abzw Vingst. W 307. S-Bahn
2622;1.371;39.437;Köln Bbf. W 144 - Düren. S-Bahn
2624;3.197;4.380;Köln-Mülheim. Stw Mf. W103- Köln-Mülheim Berliner Str. W50 G-B
2625;0;325;K-Mülheim - Berliner Str. W 241 - W 51
2630;-2.005;152.407;Köln Hbf --Koblenz-- - Bingen (Rhein) Hbf
2631;-208;163.848;Kalscheuren. W 9 - Ehrang. W 30
2632;68;441;Kalscheuren. W 63 - W 36
2633;-12;1.194;Köln Hbf - Köln-Deutz (Aussengleise)
2634;1.177;14.000;Euskirchen. W 10 - Bad Münstereifel
2635;-372;17.572;Kall. W 19 - Hellenthal. G-Bahn
2636;0;45.000;Rech - Erftstadt
2637;700;24.950;Ahrdorf (Ahr) - Blankenheim (Wald)
2638;-1.481;400;Köln Hbf --Koblenz-- (Gegenri.2630) - Bingen (Rhein) Hbf
2639;-12;1.194;Köln Hbf - Köln-Deutz (Innengleise)
2640;1.744;9.687;Köln-West. Stw Gs - Kalscheuren. W 33 G-Bahn
2641;-25;7.732;Köln Süd. W 10 - Köln-Kalk Nord. Stw Ksf.W 615.G-Bahn
2642;-339;1.329;Köln Süd. W 1 - Köln Bonntor. W 3
2643;-2.795;832;Köln Eifeltor. Stw Esf. W 426 - Köln Bonntor. W 1. G-Bahn
2644;-49;1.694;Köln Eifeltor. Stw Enf. W 18 - Köln Bonntor. W 88. G-Bahn
2645;-263;34.504;Bonn Hbf. W 227 - Euskirchen. W 89
2650;0;150.728;Köln-Deutz --Essen-Altenessen-- - Hamm (Westf)
2651;0;166.249;Köln-Deutz - Giessen. W 301
2652;0;6.892;Köln-Deutz - Köln-Mülheim
2653;0;3.374;Köln-Deutz - Köln-Mülheim. W 221
2654;366;851;Köln-Deutz. W 33 - Köln-Deutzerfeld. W 27
2655;1.497;24.591;Abzw Vingst. W 305 - Overath. W 20
2656;39;3.029;Köln-Kalk. Abzw Südbrücke. W 203 - Gremberg. Stw Gnf. W 11. G-Bahn
2657;392;72.725;Siegburg. W 54 - Olpe. W 901
2658;40.000;47.300;Köln-Deutz --Essen-Altenessen-- - Hamm (Westf) (Gegenri.2650)
2659;40.000;46.685;Köln-Deutz - Köln-Mülheim (Gegenrichtung Str.2652)
2660;-479;6.700;Köln-Mülheim. W 161 - Köln-Kalk. W 45
2661;3.259;4.087;Köln-Mülheim. Stw Mf. W 102 - Abzw Höhenhaus. W 201
2662;3.196;4.292;Köln-Mülheim. Stw Mf. W 102 - Abzw Berliner Str.. W 49. G-Bahn
2663;734;47.185;Köln-Mülheim. W 233  - Lindlar
2664;-69;3.960;Köln-Mülheim. W 105 - Köln-Kalk Nord. W 54. G-Bahn
2665;0;4.280;Köln-Kalk Nord - Abzw Berliner Str.. W 50. G-Bahn
2666;1.064;7.173;Köln-Kalk Nord. W 620 - Gremberg. W 650. G-Bahn
2667;0;1.815;Köln-Kalk Nord - Abzw Vingst. W 301. G-Bahn
2668;180;797;Köln-Deutz. W 26 (Gegenri.2654) - Köln-Deutzerfeld. W 22
2669;-773;1.889;Köln-Kalk Nord. Stw Ksf. W 528 - Köln-Mülheim. Stw Mf. W 12. G-Bahn
2670;0;63.108;Köln Hbf - Duisburg Hbf. S-Bahn
2671;-57;7.171;Hilden - Solingen-Ohligs
2672;0;100;ehemalige Strecke - Hilden - Abzw Schützenstraße
2673;34.884;35.504;Hilden. W 56 - W 62
2674;-54;2.181;Opladen. Abzw Werkstätte. W 118 - Opladen Ostseite. W 23. G-Bahn
2675;15;17.740;Solingen-Ohligs - Remscheid Hbf
2676;28.573;34.869;Düsseldorf-Eller - Hilden
2680;156;23.843;Osberghausen. W 3 - Waldbröl (Rheinl). G-Bahn
2681;-253;7.548;Hermesdorf. W 1 - Morsbach (Sieg). G-Bahn
2690;0;175.361;Köln - Frankfurt (Main) Flughafen (Plaunungstitel)
2695;0;14.500;Troisdorf. W420 - Bonn-Oberkassel. W 229. S-Bahn
2700;487;42.399;Wt-Oberbarmen. W164 --Bergi.Born-- - Opladen. W 79
2701;139;5.556;Wuppertal-Oberbarmen. W 118 - Schwelm. W 427
2702;-344;737;Wuppertal-Rauenthal. W 713 - Wuppertal-Langerfeld. W 502. G-Bahn
2703;0;20.260;Remscheid-Lennep --Krebsöge-- - Wuppertal-Rauenthal. W 718
2704;-290;18.818;Krebsöge. W 10 - ehem. Anschlag
2705;13.484;22.150;Remscheid-Lennep. W 414 - Remscheid-Hasten
2706;-298;2.495;Remscheid Hbf. W 65 - Remscheid-Bliedinghausen. G-Bahn
2707;16.714;43.783;Bergisch Born. W 3 - Marienheide. W 14
2710;1.372;3.280;Wuppertal-Oberbarmen. W 507 - Wuppertal-Wichlinghausen
2711;-20;1.081;Wuppertal-Langerfeld. W 514 - W 568. G-Bahn
2712;1.436;5.680;Wuppertal-Langerfeld. W 513 - Schwelm-Loh. G-Bahn
2713;0;22.741;Wuppertal-Wichlinghausen - Hattingen (Ruhr)
2714;0;9.191;ehem. Schee - ehem. Silschede. G-Bahn
2721;-277;10.685;Wuppertal-Steinbeck. W 97 - Wuppertal-Cronenberg
2722;295;3.526;Wuppertal-Vohwinkel. W 465 - Wuppertal-Varresbeck. W 71
2723;-144;26.382;Wuppertal-Vohwinkel. W 78 - Essen-Kupferdreh. W 407
2724;84;25.200;ehem. Abzw Oberdüssel - Kettwig Stausee
2725;0;100;ehemalige Strecke - Wuppertal-Vohwinkel. Stw F 8 - Stw Vpf
2730;15;26.600;Gruiten - Köln-Mülheim
2731;104.182;106.086;Gruiten - Abzw Linden. W 101
2732;103.509;109.936;Gruiten. W 559 - Wt-Vohwinkel.Stw Vpf. W 89. G-Bahn
